Tanggal,Provinsi,Kriteria UMKM,Jenis UMKM,Lokasi Usaha,Lama Usaha (Bulan),Status Kepemilikan Tempat Usaha,Jumlah Karyawan,Aset Usaha (IDR),Jumlah Pasti Aset Usaha (IDR),Liabilitas Usaha (IDR),Jumlah Pasti Liabilitas Usaha (IDR),Omset Bulanan (IDR),Jumlah Pasti Omset Bulanan (IDR),Laba Bersih (IDR),Jumlah Pasti Laba Bersih (IDR),Jumlah Pinjaman (IDR),Jumlah Pasti Jumlah Pinjaman (IDR),Rekening Bank,Skor Kredit,Kategori Skor Kredit
2020-05-29,4,2,2,2,65,4,19,5,145660000,8,419280000,6,296420000,6,298540000,6,253510000,1,850,5
2023-02-24,7,1,3,1,30,1,3,2,18320000,1,1620000,1,4870000,2,24030000,1,2680000,0,647,2
2020-11-22,32,3,5,2,151,2,88,10,1193380000,13,9170870000,13,8033920000,11,4252720000,12,5104490000,1,850,5
2023-05-08,31,2,3,3,13,1,18,5,135500000,9,696380000,7,349120000,4,76880000,4,88270000,1,850,5
2021-08-14,5,1,4,3,29,2,5,3,33990000,1,1620000,2,22520000,2,28720000,2,14840000,1,850,5
2022-10-21,3,2,1,1,29,2,20,8,461340000,5,181370000,8,418760000,6,282280000,6,221810000,0,850,5
2021-11-19,33,1,5,3,32,2,4,1,6180000,2,13680000,2,29590000,2,10890000,3,45920000,0,555,1
2020-04-15,38,1,4,1,34,4,2,3,38130000,1,9610000,3,33690000,1,320000,2,20530000,0,669,2
2023-11-15,14,2,4,3,111,4,6,9,574130000,8,427830000,8,443630000,9,756820000,8,450580000,0,850,5
2022-12-27,22,2,5,2,98,2,24,7,325810000,5,137450000,8,440060000,5,139950000,6,294610000,1,850,5
2022-09-09,23,2,5,3,47,2,8,8,490810000,8,450960000,7,346320000,5,138980000,4,69300000,1,850,5
2023-09-05,17,2,4,1,37,2,22,9,645830000,5,114660000,8,499440000,8,432120000,5,106810000,1,850,5
2020-07-24,27,3,3,3,144,1,42,10,2181870000,11,3873830000,13,9050630000,11,4623310000,12,5689700000,0,850,5
2023-08-28,37,3,2,3,213,1,47,13,7755010000,10,2795730000,13,9127660000,11,4608470000,12,6882790000,1,850,5
2023-03-09,7,2,3,2,70,4,9,8,462820000,6,225880000,4,72190000,5,198130000,7,387010000,0,850,5
2021-11-21,19,3,5,3,217,3,47,13,8836970000,12,5186270000,13,9874430000,10,1396810000,11,4025320000,0,850,5
2021-06-18,25,3,2,2,216,2,67,12,6250820000,10,1561680000,12,6487710000,11,3133410000,10,1999430000,0,850,5
2023-11-06,33,2,3,3,27,2,16,8,429640000,5,117930000,7,320560000,7,381300000,6,255810000,0,850,5
2021-03-23,16,1,5,1,34,4,5,3,42140000,1,9470000,1,1040000,3,46960000,1,9610000,1,850,5
2022-12-01,29,2,1,3,38,4,7,8,459790000,4,80430000,5,168890000,7,361310000,8,407750000,0,850,5
2020-02-14,26,1,3,1,14,1,1,2,21560000,3,32140000,3,32020000,1,7920000,1,4820000,0,548,1
2023-08-06,27,3,3,2,138,4,73,10,2466150000,11,4403450000,12,5254760000,11,4153750000,13,9271360000,1,850,5
2020-02-16,20,3,4,3,208,4,93,13,7986400000,11,3989190000,12,5333120000,12,5404760000,10,1069190000,0,850,5
2021-02-26,5,3,1,3,32,4,31,11,4590300000,10,1863860000,13,8006480000,11,4620030000,10,1300940000,0,850,5
2023-03-25,21,1,5,3,21,3,3,1,8750000,1,6940000,2,19230000,1,9340000,3,35880000,0,527,1
2021-12-06,25,3,5,2,202,4,77,11,3644010000,13,7789750000,13,8034950000,11,3645830000,11,4730390000,0,850,5
2022-04-25,27,1,5,3,9,4,2,2,16820000,2,12650000,2,22450000,1,8990000,3,36390000,1,592,2
2023-10-11,3,2,1,1,114,3,20,5,144690000,6,202060000,5,125500000,9,562980000,9,904980000,0,850,5
2023-05-22,14,1,4,1,36,2,3,2,25640000,3,42050000,2,18780000,2,27210000,2,25640000,1,696,3
2021-02-20,24,2,3,2,17,3,9,4,67500000,8,478390000,8,496640000,7,339620000,5,126330000,0,850,5
2023-03-12,16,2,4,3,95,2,13,7,397110000,9,897070000,7,361850000,5,198350000,6,222720000,1,850,5
2023-01-15,4,3,5,1,238,1,31,10,1885610000,11,4809350000,11,3145960000,11,3019630000,11,4086050000,0,850,5
2023-06-19,31,3,4,1,25,4,26,10,2136920000,12,6150490000,12,5036810000,13,7769950000,10,2971490000,1,850,5
2021-05-08,13,3,5,3,88,2,59,13,7339390000,12,5871940000,13,9426670000,11,4497300000,11,3644190000,1,850,5
2022-04-10,25,3,4,3,145,1,26,11,3177570000,13,8863630000,12,6215170000,10,2921550000,10,1493420000,1,850,5
2020-04-05,5,2,3,3,84,1,10,6,202100000,5,178790000,5,195660000,7,310330000,6,221800000,1,850,5
2023-01-12,22,1,4,3,9,1,5,3,41610000,1,1640000,2,17790000,1,5710000,3,49990000,0,665,2
2023-07-22,18,3,4,2,82,2,95,13,8854770000,11,4459630000,13,7368050000,12,6713810000,11,4531390000,1,850,5
2020-11-11,25,2,2,3,61,2,16,4,56140000,4,70690000,7,348310000,6,213720000,5,111720000,1,850,5
2023-02-14,36,2,5,2,25,1,7,6,274390000,4,90060000,8,443540000,7,301660000,6,255540000,0,850,5
2023-02-19,16,1,5,3,11,4,2,1,4510000,2,19010000,2,14900000,1,2810000,2,19260000,0,387,1
2020-06-06,24,2,3,1,104,4,24,8,426250000,7,314360000,5,140890000,4,76550000,6,283240000,0,850,5
2021-11-16,28,2,5,1,50,2,24,9,607830000,7,342170000,5,153450000,6,239120000,9,873100000,0,850,5
2022-02-09,18,2,4,2,26,3,23,8,424150000,9,912110000,8,403610000,9,747830000,9,612550000,0,850,5
2020-05-21,27,1,4,1,20,3,3,3,35170000,3,44200000,2,12480000,2,26080000,3,43450000,0,639,2
2023-12-07,35,2,5,3,22,1,12,9,856850000,6,222330000,9,828930000,4,87800000,9,863710000,0,850,5
2020-08-04,1,2,1,2,40,3,19,6,252500000,7,391210000,8,492670000,8,420230000,6,203300000,0,850,5
2022-05-01,6,2,1,3,30,2,14,6,261110000,5,169940000,7,346750000,7,313100000,7,396900000,0,850,5
2021-09-06,3,3,1,1,111,1,46,11,4108090000,11,4185220000,11,3710790000,13,8984510000,11,4713170000,0,850,5
2023-08-04,28,3,4,1,212,3,82,13,8670040000,10,2513410000,11,3441920000,12,6615610000,10,2239850000,1,850,5
2022-01-19,21,3,2,2,53,2,87,12,6281990000,13,9625550000,13,9521170000,10,1747160000,12,6815740000,0,850,5
2023-12-16,20,1,5,3,6,3,3,1,4000000,2,13920000,1,6260000,3,34740000,3,43030000,0,599,2
2022-02-24,28,1,2,2,35,3,5,1,8210000,2,14710000,1,5280000,2,11800000,2,10320000,0,475,1
2022-02-25,36,3,5,3,150,4,87,13,8906330000,13,7718350000,10,2214180000,10,2709140000,11,3627260000,1,850,5
2023-01-06,19,3,2,2,168,4,95,10,2229890000,10,1575290000,12,6164030000,10,2632100000,13,9346570000,1,850,5
2023-08-31,16,3,3,1,139,2,69,10,1942900000,10,2665660000,11,3450710000,12,6849090000,13,7712890000,1,850,5
2020-05-01,37,3,3,3,95,3,66,12,5621340000,12,6842580000,10,1291170000,13,7254630000,12,6861970000,1,850,5
2020-10-26,21,3,2,3,124,4,43,12,6348220000,13,8611350000,13,7324340000,10,1865120000,12,6491860000,0,850,5
2021-11-01,38,2,1,3,23,4,25,9,874350000,6,208500000,8,453380000,5,157670000,5,166400000,0,850,5
2021-11-22,36,2,5,1,84,4,15,9,909230000,4,53080000,4,92020000,7,302190000,4,60600000,0,850,5
2022-05-26,13,3,2,3,101,3,60,10,2405720000,12,5537710000,10,1798530000,11,3111210000,13,9686950000,0,850,5
2023-09-04,6,2,1,1,39,4,7,5,179680000,5,169720000,9,738940000,4,50540000,9,684450000,1,850,5
2020-09-27,31,1,1,1,25,1,1,1,5260000,2,20040000,1,6420000,1,2400000,1,8900000,1,425,1
2021-12-20,14,2,2,2,90,4,11,4,56740000,5,116530000,8,497980000,7,347180000,7,342210000,1,850,5
2023-08-13,6,2,2,3,88,2,5,9,970210000,6,227570000,8,481460000,8,425320000,9,710320000,0,850,5
2022-10-10,25,3,1,1,151,1,92,10,1775450000,12,5283430000,13,9441180000,13,8569430000,11,4637940000,0,850,5
2023-04-17,5,3,1,2,79,1,32,13,9175880000,12,6349850000,13,8819240000,13,7354020000,11,3595860000,1,850,5
2022-11-13,14,3,2,3,107,4,100,10,1666080000,13,8024940000,10,1525020000,10,2985620000,13,7498160000,0,850,5
2023-09-26,12,2,1,1,102,3,5,5,166630000,6,270200000,8,496740000,6,222410000,6,217040000,0,850,5
2021-11-17,28,3,3,3,40,2,98,10,2065470000,13,9193790000,12,5119050000,13,9434760000,11,3789600000,1,850,5
2023-03-21,8,3,2,3,154,1,30,10,1525170000,10,2013110000,12,5822440000,11,3384320000,10,2187270000,0,850,5
2021-05-23,27,2,3,2,117,1,23,6,216030000,8,490370000,4,62040000,5,169230000,4,76910000,1,850,5
2021-09-28,21,2,1,3,70,1,16,5,139140000,8,440790000,9,834320000,5,162270000,6,279420000,0,850,5
2023-01-24,16,1,2,1,27,1,2,3,41620000,3,30320000,2,10050000,3,42630000,3,40320000,1,850,5
2021-05-02,27,1,4,1,10,2,1,1,3880000,3,43860000,3,42500000,2,12850000,3,33210000,1,540,1
2023-04-27,37,3,1,2,193,3,55,12,5560470000,12,6988660000,13,8401240000,12,5972290000,12,5501680000,1,850,5
2023-04-12,7,3,2,1,66,4,84,12,5872980000,10,2150890000,12,6654290000,11,3970480000,12,5995030000,0,850,5
2020-11-18,20,3,5,1,79,2,43,10,2527200000,11,3763950000,13,9205290000,10,2454240000,12,5558700000,1,850,5
2022-07-15,36,2,5,1,24,4,8,5,116300000,4,54140000,5,117540000,5,153770000,6,292110000,1,850,5
2020-02-14,5,3,2,3,137,3,36,12,5263130000,10,1989980000,10,1360750000,13,8696510000,13,7126630000,0,850,5
2021-12-25,14,3,2,2,95,4,44,10,2318780000,11,4390020000,12,6071360000,13,9365190000,13,7261900000,1,850,5
2020-10-08,27,2,2,3,114,3,25,8,402620000,7,395750000,6,264380000,8,465050000,6,275920000,0,850,5
2021-01-03,2,2,3,3,40,1,13,4,81650000,8,447970000,8,431240000,5,113440000,5,188160000,1,850,5
2020-04-24,15,1,5,2,23,3,2,1,9940000,2,22040000,3,30950000,3,41800000,3,48910000,1,800,5
2023-01-15,20,2,2,2,16,1,6,5,180750000,5,102670000,8,464150000,4,72260000,8,427040000,1,850,5
2020-12-29,21,1,1,1,10,3,1,3,42240000,1,6270000,3,43270000,3,33390000,2,20130000,0,850,5
2022-06-13,32,3,3,1,205,2,53,11,3812570000,12,6576240000,12,5273480000,11,4565150000,10,2507550000,0,850,5
2023-05-18,21,3,5,1,187,1,88,11,3711180000,10,1511090000,12,5686160000,11,4366200000,10,2764510000,0,850,5
2021-06-27,14,3,2,3,41,2,57,10,2547080000,10,1103400000,13,8882140000,13,7714420000,13,9117770000,0,850,5
2022-02-07,7,1,4,3,15,3,4,1,560000,2,10670000,2,18760000,1,1240000,2,15710000,0,417,1
2020-06-02,36,1,1,2,31,1,4,3,35540000,3,44570000,1,900000,1,5550000,1,3190000,0,456,1
2021-07-30,20,1,2,1,4,4,5,3,46470000,1,910000,2,10130000,2,12940000,2,26120000,1,764,4
2021-02-27,11,3,3,1,145,1,64,13,9022690000,13,9839150000,12,5195710000,13,7794060000,12,6901580000,0,850,5
2022-07-01,3,3,3,2,143,2,53,12,6211710000,10,1324550000,10,1184060000,12,6735550000,13,9532860000,1,850,5
2022-12-06,27,2,5,3,72,3,20,6,210600000,7,395870000,4,83700000,8,469370000,8,490940000,1,850,5
2020-12-20,11,2,2,1,28,1,18,4,95840000,7,327100000,9,579390000,8,434610000,6,297590000,1,850,5
2023-02-13,26,2,5,2,47,4,5,9,834500000,8,470140000,7,315100000,7,320080000,5,176050000,1,850,5
2020-07-25,19,1,5,2,27,2,4,3,46290000,3,45870000,1,2890000,2,23520000,1,6740000,1,692,3
2023-11-15,16,2,1,3,72,2,16,4,72670000,6,241730000,6,265980000,9,867680000,4,65300000,1,850,5
2022-06-26,21,1,3,3,27,1,2,2,17090000,2,26260000,3,42550000,1,8640000,1,1100000,0,605,2
2020-10-04,34,2,5,1,34,3,11,4,66740000,4,80630000,4,74180000,9,606900000,6,249440000,0,850,5
2023-07-25,8,2,1,1,59,4,24,7,323830000,7,378770000,8,446940000,6,221950000,6,292460000,1,850,5
2022-03-02,4,3,2,3,223,3,53,11,4455340000,11,3577850000,13,9204530000,10,2856780000,10,2018120000,1,850,5
2020-01-18,15,1,3,3,20,2,4,2,21700000,2,18460000,1,7830000,2,27470000,3,43330000,1,686,3
2023-09-18,24,1,5,3,19,2,1,2,12140000,2,19280000,3,40910000,2,18760000,3,40030000,1,701,3
2021-05-07,4,1,5,2,21,3,1,3,46690000,2,18700000,2,23580000,2,11190000,3,49190000,1,757,4
2023-12-31,15,1,5,3,31,2,5,2,15700000,3,48730000,1,4930000,1,7900000,1,4340000,1,426,1
2020-07-01,15,1,3,1,20,4,3,2,18740000,3,39870000,2,13950000,2,11800000,3,49580000,1,518,1
2022-10-21,8,3,4,3,100,4,31,11,3294990000,11,3735880000,13,9445570000,13,7615140000,12,6851980000,1,850,5
2021-11-12,12,2,3,3,19,1,19,6,228100000,5,177350000,5,165710000,4,58680000,8,458210000,0,850,5
2022-09-04,25,2,1,1,80,3,16,4,71620000,8,425580000,4,95420000,4,92060000,9,633590000,1,646,2
2020-09-21,7,2,4,3,87,2,10,4,53070000,6,239030000,7,397690000,8,480040000,8,445340000,0,850,5
2022-09-30,23,2,2,1,115,4,5,5,130110000,9,570440000,5,198530000,4,89570000,8,422680000,1,850,5
2023-08-25,3,1,4,3,17,1,5,1,1810000,3,30660000,1,1940000,2,24910000,2,14150000,0,457,1
2020-11-09,14,1,1,2,27,1,5,2,14600000,2,13520000,3,33950000,2,13830000,1,8350000,1,684,3
2022-12-07,13,2,3,3,64,2,10,4,86780000,7,327880000,9,758050000,6,231470000,4,50860000,1,850,5
2023-10-02,32,1,2,1,33,1,1,2,17760000,2,19930000,2,25580000,1,1670000,1,660000,0,507,1
2021-10-02,28,1,1,1,3,1,2,3,35720000,2,22000000,2,19000000,3,33120000,2,21500000,1,820,5
2022-03-30,30,2,3,2,100,4,18,9,975730000,5,115170000,5,193440000,9,531490000,5,113920000,0,850,5
2023-10-21,29,1,2,3,25,2,5,1,2190000,2,26380000,1,6900000,2,11540000,1,4390000,0,413,1
2023-10-20,34,1,5,3,15,2,5,3,33200000,2,18340000,2,21600000,3,42910000,1,9370000,1,850,5
2020-11-17,33,1,4,2,11,1,4,2,18080000,2,19330000,1,8500000,1,9240000,3,42700000,0,486,1
2022-07-29,29,3,5,2,46,4,82,12,5254920000,13,9806220000,10,1220420000,13,8770980000,10,2196430000,1,850,5
2023-06-21,20,1,5,3,14,4,3,2,11820000,1,7620000,2,28800000,3,45880000,3,42190000,0,827,5
